Site,Reporting period,Males tested,Females non-pregnant,Females pregnant,Children below 12 mths (Age group A),Children 12 mths - 14 yrs (Age group B),Young adults 15-24 years (Age group C),Older adults 25+ yrs (Age group D),PITC,Family Referral Slip (FRS),"Other (VCT, etc_) HTC access",Never tested before,Last negative,Last positive,Last exposed infant,Last inconclusive,Counseled with partner / partner present,Counseled alone / Partner not present,Single test negative,Single test positive,Test 1&2 negative,Test 1&2 positive,Test 1&2 discordant,New negative,New positive,New exposed infants,New inconclusive,Confirmatory positive,Confirmatory inconclusive
Makanjira Health Centre,201704,261,205,214,4,55,255,366,680,0,0,275,379,26,0,0,346,334,624,0,0,52,4,624,26,0,4,26,0
Makanjira Health Centre,201705,261,238,229,0,28,286,414,726,1,1,213,484,31,0,0,399,329,646,0,0,80,2,646,40,0,2,40,0
Makanjira Health Centre,201706,229,208,175,0,51,238,323,600,12,0,218,372,22,0,0,322,290,568,0,0,43,1,568,21,0,1,22,0
Maldeco Fisheries Clinic,201704,67,40,2,2,12,42,53,97,4,8,34,60,14,1,0,10,99,85,0,0,24,0,84,11,0,0,13,1
Maldeco Fisheries Clinic,201705,72,50,9,1,13,51,66,124,4,3,36,81,14,0,0,18,113,102,0,0,29,0,102,15,0,0,14,0
Maldeco Fisheries Clinic,201706,120,67,4,0,29,67,95,161,20,10,58,106,26,1,0,35,156,139,0,0,52,0,139,26,0,0,26,0
Katuli Health Centre,201704,201,279,282,0,59,303,400,755,2,5,240,465,57,0,0,209,553,651,0,0,108,3,652,51,0,2,57,0
Katuli Health Centre,201705,197,392,320,0,68,387,454,886,15,8,180,676,53,0,0,221,688,810,0,0,98,1,810,45,0,1,53,0
Katuli Health Centre,201706,229,313,274,0,57,278,481,785,16,15,216,531,69,0,0,212,604,679,0,0,137,0,679,68,0,0,69,0
Chilipa Health Centre Mangochi,201704,279,429,223,0,242,356,333,930,1,0,374,533,22,0,2,217,714,887,0,2,42,0,889,20,0,0,22,0
Chilipa Health Centre Mangochi,201705,296,281,275,0,117,352,383,847,0,5,315,513,24,0,0,436,416,804,0,0,46,2,804,22,0,2,24,0
Chilipa Health Centre Mangochi,201706,261,548,203,2,332,358,320,995,0,17,449,548,15,0,0,214,798,972,0,0,40,0,972,25,0,0,15,0
Malawi Army Marine Camp Hospital,201704,49,31,0,0,1,20,59,23,0,57,17,49,14,0,0,7,73,58,0,0,22,0,58,8,0,0,14,0
Malawi Army Marine Camp Hospital,201705,65,82,1,0,7,33,108,79,0,69,24,100,24,0,0,0,148,100,0,0,48,0,100,24,0,0,24,0
Malawi Army Marine Camp Hospital,201706,94,62,0,0,4,64,88,113,0,43,26,117,13,0,0,16,140,122,0,0,34,0,122,16,0,0,18,0
Katema Health Centre,201704,121,459,129,6,238,277,188,270,3,436,403,294,12,0,0,51,658,683,0,0,26,0,683,13,0,0,13,0
Katema Health Centre,201705,188,167,134,0,80,191,218,334,41,114,165,299,25,0,0,84,405,439,0,0,49,1,439,25,1,24,0,0
Katema Health Centre,201706,148,273,128,0,145,217,187,370,62,117,243,292,14,0,0,92,457,520,0,0,29,0,520,14,0,0,15,0
Kukalanga Health Centre,201704,128,228,106,0,68,182,212,394,12,56,113,319,29,0,1,24,438,403,0,0,56,3,403,27,0,3,29,0
Kukalanga Health Centre,201705,241,317,108,0,187,235,244,578,20,68,310,309,45,2,0,96,570,573,0,0,92,1,572,44,1,1,48,0
Kukalanga Health Centre,201706,130,230,68,1,126,144,157,323,17,88,149,258,21,0,0,26,402,387,0,0,41,0,387,20,0,0,21,0
Malombe Health Centre,201704,281,302,64,0,196,330,121,147,1,499,422,215,10,0,0,48,599,626,0,1,19,1,627,9,0,1,10,0
Malombe Health Centre,201705,95,115,97,0,32,103,172,141,0,166,63,226,18,0,0,51,256,271,0,1,34,1,272,16,0,1,18,0
Malombe Health Centre,201706,91,129,54,1,32,88,153,110,0,164,56,211,7,0,0,47,227,257,0,1,15,1,258,7,0,1,8,0
Namwera Health Centre,201704,178,232,150,0,40,275,245,475,9,76,141,384,35,0,0,188,372,493,0,0,67,0,493,32,0,0,35,0
Namwera Health Centre,201705,198,285,194,1,45,307,324,570,8,99,183,450,44,0,0,231,446,597,0,0,79,1,597,35,0,0,44,1
Namwera Health Centre,201706,128,212,113,0,29,205,219,356,8,89,166,264,23,0,0,118,335,413,0,0,39,1,413,16,0,1,23,0
Nancholi Dispensary,201704,25,25,0,0,2,14,34,22,0,28,19,25,4,0,2,8,42,39,0,0,7,4,39,3,0,2,4,2
Nancholi Dispensary,201705,27,37,2,0,8,21,37,34,0,32,28,36,2,0,0,10,56,62,0,0,4,0,62,2,0,0,2,0
Nancholi Dispensary,201706,33,43,1,0,4,32,41,26,1,50,27,42,8,0,0,0,77,62,0,0,15,0,62,7,0,0,8,0
Nkope Health Centre,201704,121,196,51,1,77,126,164,262,0,106,89,264,11,0,4,52,316,345,0,0,17,6,345,7,0,4,10,2
Nkope Health Centre,201705,134,237,56,1,106,191,129,307,2,118,144,269,10,1,3,381,46,401,0,0,20,6,401,9,0,6,11,0
Nkope Health Centre,201706,148,216,56,0,92,154,174,256,8,156,126,281,13,0,0,96,324,390,0,0,28,2,390,13,0,2,15,0
Namalaka Health Centre,201704,61,100,77,0,32,93,113,153,0,85,57,170,11,0,0,28,210,217,0,0,21,0,217,10,0,0,11,0
Namalaka Health Centre,201705,65,78,100,0,34,83,126,164,0,79,70,163,10,0,0,45,198,218,0,0,25,0,218,15,0,0,10,0
Namalaka Health Centre,201706,86,124,109,0,48,113,158,208,18,93,102,200,17,0,0,36,283,282,0,0,37,0,282,20,0,0,17,0
Nangalamu Health Centre,201704,149,198,115,0,42,169,251,353,5,104,98,352,12,0,0,182,280,439,0,0,23,0,439,11,0,0,12,0
Nangalamu Health Centre,201705,170,243,114,0,31,203,293,398,3,126,109,402,16,0,0,182,345,502,0,0,25,0,492,19,0,0,16,0
Nangalamu Health Centre,201706,126,85,90,0,19,111,171,222,8,71,55,233,13,0,0,159,142,276,0,0,25,0,276,12,0,0,13,0
Nankhwali Health Centre,201704,12,17,38,0,3,31,33,48,0,19,13,51,3,0,0,4,63,61,0,0,6,0,61,3,3,0,0,0
Nankhwali Health Centre,201705,17,32,50,0,5,39,55,84,2,13,22,73,4,0,0,14,85,93,0,0,6,0,93,2,0,0,4,0
Nankhwali Health Centre,201706,2,9,36,0,2,26,19,38,0,9,4,40,3,0,0,4,43,41,0,0,6,0,41,3,0,0,3,0
Nankumba Health Centre,201704,457,885,69,0,690,332,389,1407,1,3,893,499,19,0,0,105,1306,1376,0,0,35,0,1376,16,0,0,19,0
Nankumba Health Centre,201705,362,465,59,2,372,211,301,884,0,2,465,412,9,0,0,79,807,865,0,2,17,2,866,8,1,2,9,0
Nankumba Health Centre,201706,254,488,85,0,301,253,273,826,0,1,393,415,16,0,3,137,690,788,0,2,31,6,789,15,0,5,16,2
Koche Health Centre,201704,289,510,199,2,313,327,356,625,0,373,422,525,51,0,0,239,759,911,0,0,87,0,911,32,0,0,55,0
Koche Health Centre,201705,375,329,375,3,90,436,550,824,1,254,213,802,64,0,0,51,1028,968,0,0,111,0,968,44,0,0,67,0
Koche Health Centre,201706,364,514,266,1,320,400,423,859,0,285,557,497,90,0,0,220,924,1007,0,0,137,0,917,137,0,0,90,0
Ngapani Health Centre,201704,11,11,16,0,7,7,24,38,0,0,26,9,3,0,0,7,31,29,0,0,9,0,26,9,0,0,3,0
Ngapani Health Centre,201705,17,9,19,0,6,10,29,45,0,0,45,0,0,0,0,1,44,35,0,0,10,0,35,10,0,0,0,0
Ngapani Health Centre,201706,17,14,21,0,5,18,29,52,0,0,37,15,0,0,0,0,52,43,0,0,9,0,43,9,0,0,0,0
Chikole Dispensary,201704,54,46,40,0,13,52,75,103,0,37,91,43,6,0,0,71,69,128,0,0,12,0,128,6,0,0,6,0
Chikole Dispensary,201705,65,31,48,2,9,63,70,117,5,22,101,37,6,0,0,88,56,132,0,0,12,0,132,6,0,0,6,0
Chikole Dispensary,201706,44,44,39,0,18,56,53,109,0,18,95,22,10,0,0,56,71,105,0,0,22,0,105,11,0,0,11,0
Lugola Health Centre,201704,73,75,91,0,29,106,104,154,0,85,115,114,10,0,0,44,195,220,0,0,19,0,220,9,0,0,10,0
Lugola Health Centre,201705,95,83,87,2,23,92,148,173,2,90,77,172,16,0,0,33,232,233,0,0,32,0,233,16,0,0,16,0
Lugola Health Centre,201706,83,92,90,0,58,86,121,217,0,48,96,147,21,0,1,41,224,240,0,0,24,1,240,13,0,0,12,0
Lulanga Health Centre,201704,174,97,129,3,29,159,209,350,0,50,185,195,20,0,0,220,180,364,0,0,35,1,364,16,0,1,19,0
Lulanga Health Centre,201705,299,83,146,2,91,177,258,465,2,61,285,222,21,0,0,236,292,491,0,0,37,0,491,16,0,0,21,0
Lulanga Health Centre,201706,162,107,106,6,45,124,200,296,2,77,135,217,22,0,1,203,172,334,0,0,36,5,334,16,0,5,20,0
Lungwena Health Centre,201704,66,115,142,0,22,146,155,245,4,74,64,232,27,0,0,22,301,274,0,0,49,0,274,22,0,0,27,0
Lungwena Health Centre,201705,547,103,207,0,370,297,190,783,1,73,540,286,29,0,2,26,831,798,0,0,58,1,796,29,0,1,31,0
Lungwena Health Centre,201706,49,131,172,0,26,184,142,306,0,46,60,273,19,0,0,13,339,319,0,0,33,0,319,14,0,0,19,0
Chiumbangame Health Centre,201704,6,11,0,0,2,0,15,7,0,10,5,11,1,0,0,0,17,13,0,0,4,0,13,3,0,0,1,0
Chiumbangame Health Centre,201705,10,15,0,0,4,5,16,10,1,14,12,11,2,0,0,6,19,17,0,0,8,0,17,6,0,0,2,0
Chiumbangame Health Centre,201706,2,12,0,1,0,1,12,5,0,9,5,8,1,0,0,2,12,12,0,0,2,0,12,2,0,0,0,0
Luwalika Health Centre,201704,4,6,18,0,2,10,16,1,2,25,17,8,3,0,0,7,21,23,0,0,5,0,23,2,0,0,3,0
Luwalika Health Centre,201705,11,11,18,0,4,12,24,0,4,36,20,13,6,1,0,6,34,34,0,0,6,0,33,0,1,0,6,0
Luwalika Health Centre,201706,5,16,18,0,3,16,20,0,3,36,33,6,0,0,0,2,37,33,0,0,6,0,33,6,0,0,0,0
Phirilongwe Health Centre,201704,109,111,44,0,28,115,121,219,0,45,117,140,7,0,0,74,190,251,0,0,13,0,251,6,0,0,7,0
Phirilongwe Health Centre,201705,138,144,63,1,39,118,187,310,0,35,142,191,12,0,0,117,228,322,0,0,22,1,322,10,0,1,12,0
Phirilongwe Health Centre,201706,180,354,37,2,283,160,126,255,2,314,380,183,8,0,0,62,509,554,0,0,16,1,554,8,0,1,8,0
Sinyala Health Centre,201704,33,9,0,0,20,8,14,27,0,15,24,14,4,0,0,3,39,35,0,0,7,0,35,3,0,0,4,0
Sinyala Health Centre,201705,11,14,0,0,4,3,18,5,0,20,6,17,2,0,0,0,25,21,0,0,3,1,21,1,0,1,2,0
Sinyala Health Centre,201706,5,11,0,1,1,4,10,9,0,7,3,8,5,0,0,3,13,8,0,0,8,0,8,3,0,0,5,0
Mase Health Centre,201704,107,229,35,0,212,87,72,70,0,301,316,48,7,0,0,26,345,358,0,0,13,0,358,6,0,0,7,0
Mase Health Centre,201705,45,67,58,0,23,33,114,125,3,42,66,88,16,0,0,34,136,139,0,0,30,1,139,14,0,1,16,0
Mase Health Centre,201706,91,107,58,1,43,76,136,178,5,73,105,132,19,0,0,49,207,223,0,0,32,1,223,13,0,1,19,0
Jalasi Health Centre,201704,220,531,121,1,300,380,191,574,6,292,569,276,22,3,2,145,727,825,0,1,42,4,826,19,0,3,23,1
Jalasi Health Centre,201705,479,130,209,1,322,236,259,723,8,87,397,387,28,6,0,196,622,757,0,1,59,1,755,29,1,1,32,0
Jalasi Health Centre,201706,173,314,149,3,227,215,191,249,18,369,302,309,20,4,1,124,512,589,0,1,43,3,590,23,0,1,21,1
Mtimabii Health Centre,201704,116,191,161,3,40,188,237,337,2,129,137,306,21,0,4,73,395,417,0,4,39,8,421,18,0,8,21,0
Mtimabii Health Centre,201705,126,226,197,1,97,201,250,481,2,66,177,346,24,0,2,62,487,506,0,0,42,1,506,18,0,1,24,0
Mtimabii Health Centre,201706,135,211,161,0,92,182,233,431,8,68,192,295,19,0,1,58,449,468,0,0,34,5,468,15,0,5,19,0
Mkumba Health Centre,201704,137,196,89,0,29,198,195,331,0,91,85,317,19,0,1,123,299,387,0,2,33,0,389,16,0,0,17,0
Mkumba Health Centre,201705,147,237,143,0,19,229,279,465,2,60,67,438,22,0,0,212,315,484,0,2,41,0,486,19,0,0,22,0
Mkumba Health Centre,201706,147,253,116,0,85,211,220,416,5,95,124,381,11,0,0,159,357,495,0,0,20,1,495,9,0,1,11,0
Mpondasi Health Centre,201704,43,59,26,3,14,47,64,29,0,99,79,48,0,0,1,11,117,106,0,0,20,2,106,14,0,2,6,0
Mpondasi Health Centre,201705,46,51,45,0,16,52,74,53,0,89,57,64,21,0,0,9,133,107,0,0,34,1,107,23,0,1,11,0
Mpondasi Health Centre,201706,79,105,24,0,44,81,83,131,0,77,89,93,26,0,0,16,192,180,0,0,28,0,180,17,0,0,11,0
Malembo Health Centre Mangochi,201704,412,392,76,0,353,232,295,812,5,63,448,398,34,0,0,157,723,857,0,0,23,0,857,14,0,0,8,1
Malembo Health Centre Mangochi,201705,292,301,107,0,153,259,288,560,14,126,234,443,22,0,1,200,500,657,0,0,43,0,656,1,21,0,22,0
Malembo Health Centre Mangochi,201706,267,262,101,0,119,246,265,520,12,98,186,423,21,0,0,130,500,587,0,0,43,0,587,19,0,0,24,0
Sister Martha Hospital,201704,17,8,11,0,2,14,20,26,0,10,6,23,6,0,1,8,28,26,0,0,10,0,26,4,0,0,6,0
Sister Martha Hospital,201705,16,17,11,0,5,5,34,24,0,20,20,19,5,0,0,19,25,34,0,0,10,0,34,5,0,0,5,0
Sister Martha Hospital,201706,19,18,15,0,2,11,39,33,0,19,10,39,3,0,0,20,32,43,0,2,6,1,43,4,0,2,3,0
Kadango Dispensary,201704,7,11,0,0,0,1,17,18,0,0,4,11,3,0,0,8,10,12,0,0,6,0,12,3,0,0,3,0
Kadango Dispensary,201705,459,52,25,0,332,126,78,121,0,415,478,48,10,0,0,24,512,518,0,0,18,0,518,9,0,0,9,0
Kadango Dispensary,201706,11,13,0,0,4,3,17,21,3,0,6,13,5,0,0,4,20,14,0,0,10,0,14,5,0,0,5,0
Chiunda Health Centre,201704,145,236,15,1,56,126,213,298,0,98,60,322,14,0,0,55,341,368,0,0,27,1,368,13,0,1,14,0
Chiunda Health Centre,201705,172,399,14,1,104,200,280,525,1,59,137,429,18,1,0,79,506,544,0,0,40,1,544,22,0,1,18,0
Chiunda Health Centre,201706,185,431,8,5,121,214,284,558,1,65,192,411,19,1,1,79,545,588,0,0,34,2,588,15,0,2,19,0
Mama Khadija Private Clinic Namwera,201704,84,95,6,0,9,47,129,139,3,43,75,91,19,0,0,40,145,148,0,0,37,0,148,18,0,0,19,0
Mama Khadija Private Clinic Namwera,201705,106,94,9,2,11,46,150,138,2,69,84,106,19,0,0,63,146,170,0,0,38,1,170,19,0,1,19,0
Mama Khadija Private Clinic Namwera,201706,81,93,6,0,4,34,142,147,0,33,70,93,17,0,0,45,135,146,0,0,33,1,146,16,0,1,17,0
Kapire Dream Centre,201704,47,50,17,3,13,30,68,33,0,81,11,93,9,0,1,35,79,97,0,0,16,1,97,7,0,1,9,0
Kapire Dream Centre,201705,90,106,22,2,22,64,130,53,1,164,36,172,10,0,0,59,159,193,0,0,24,1,193,14,0,1,10,0
Kapire Dream Centre,201706,80,66,34,0,16,52,112,54,0,126,30,145,5,0,0,36,144,169,0,0,10,1,169,5,0,1,5,0
Chiponde Health Centre,201704,287,383,86,0,178,418,160,725,0,31,586,133,33,3,1,74,682,676,0,0,72,8,680,39,0,3,33,1
Chiponde Health Centre,201705,109,100,91,0,31,114,155,277,1,22,173,99,26,2,0,100,200,252,0,0,47,1,252,21,0,0,26,1
Chiponde Health Centre,201706,129,159,82,0,70,44,256,344,4,22,256,93,21,0,0,70,300,310,0,0,54,6,310,33,0,6,21,0
Chilonga Health Centre,201704,158,231,67,0,62,186,208,300,0,156,141,310,5,0,0,93,363,445,0,0,10,1,445,5,0,1,5,0
Chilonga Health Centre,201705,131,152,69,0,38,155,159,230,0,122,93,249,10,0,0,122,230,333,0,2,17,0,335,7,0,0,10,0
Chilonga Health Centre,201706,115,170,63,0,51,124,173,244,4,100,87,254,7,0,0,90,258,334,0,1,12,1,335,5,0,1,7,0
Malukula Health Centre,201704,51,122,48,0,29,82,110,163,4,54,60,139,18,2,2,18,203,178,0,0,38,5,178,20,0,5,18,0
Malukula Health Centre,201705,49,76,35,0,17,61,82,97,2,61,43,109,8,0,0,14,146,145,0,0,14,1,145,6,0,1,8,0
Malukula Health Centre,201706,95,216,50,0,58,136,167,99,14,248,134,213,12,1,1,20,341,337,0,0,22,2,337,10,0,2,12,0
Somba Health Centre,201704,84,83,0,0,58,74,35,14,0,153,102,62,3,0,0,9,158,162,0,0,5,0,162,2,0,0,3,0
Somba Health Centre,201705,47,72,2,2,4,31,84,36,0,85,25,85,11,0,0,32,89,101,0,0,20,0,101,9,0,0,11,0
Somba Health Centre,201706,20,33,2,0,2,16,37,10,0,45,9,37,9,0,0,14,41,38,0,0,17,0,38,8,0,0,9,0
Machinga District Hospital,201704,689,1158,437,50,323,819,1092,1738,32,514,590,1510,181,0,3,225,2059,2040,0,0,229,15,1945,142,1,15,181,0
Machinga District Hospital,201705,856,1626,524,205,393,1138,1270,2378,0,628,702,2107,194,0,3,265,2741,2659,0,1,339,7,2658,143,1,1,196,7
Machinga District Hospital,201706,1274,2202,715,46,412,1578,2155,3270,25,896,739,3236,212,0,4,449,3742,3846,0,2,338,5,3846,127,0,6,212,0
Chikweo Health Centre,201704,207,194,295,11,55,268,362,543,8,145,138,520,36,0,2,198,498,635,0,0,58,3,635,22,0,3,36,0
Chikweo Health Centre,201705,179,166,344,10,61,281,337,344,1,344,112,546,29,0,2,210,479,634,0,0,46,9,634,17,0,9,29,0
Chikweo Health Centre,201706,210,512,302,13,70,431,510,840,6,178,148,838,36,0,2,243,781,953,0,0,66,5,953,30,0,5,36,0
Namanja Health Centre,201704,124,82,93,0,23,141,135,214,1,84,49,240,10,0,0,150,149,282,0,0,17,0,282,7,0,0,10,0
Namanja Health Centre,201705,121,47,104,0,18,114,140,230,1,41,39,217,16,0,0,166,106,244,0,0,28,0,244,12,0,0,16,0
Namanja Health Centre,201706,136,170,84,1,63,138,188,281,0,109,68,306,15,0,1,175,215,363,0,0,26,1,363,11,0,1,15,0
Ntaja Health Centre,201704,355,267,257,4,78,298,499,626,0,253,242,576,56,1,4,339,540,759,0,5,111,4,763,55,1,4,55,1
Ntaja Health Centre,201705,450,250,307,1,98,394,514,700,2,305,256,687,61,0,3,471,536,916,0,1,85,5,917,24,0,5,61,0
Ntaja Health Centre,201706,753,858,285,600,202,937,157,761,0,1135,715,1105,75,0,1,453,1443,1758,0,1,136,1,1759,61,0,1,75,0
Liwonde Medical Clinic,201704,58,47,5,0,3,35,72,43,0,67,14,83,13,0,0,33,77,84,0,0,26,0,84,13,0,0,13,0
Liwonde Medical Clinic,201705,69,65,6,2,4,38,96,46,0,94,14,119,7,0,0,55,85,126,0,0,14,0,126,7,0,0,7,0
Liwonde Medical Clinic,201706,50,55,8,0,4,30,79,38,0,75,4,100,9,0,0,25,88,95,0,0,18,0,95,9,0,0,9,0
Machinga Health Centre,201704,90,122,30,2,22,100,118,161,0,81,37,196,8,0,1,61,181,223,0,0,19,0,223,11,0,0,8,0
Machinga Health Centre,201705,81,97,31,0,6,56,147,143,0,66,37,156,16,0,0,49,160,178,0,0,30,1,178,14,0,1,16,0
Machinga Health Centre,201706,54,99,27,0,15,91,74,118,0,62,41,131,7,0,1,66,114,167,0,0,12,1,167,5,0,1,7,0
Nayinunje Health Centre,201704,107,129,62,1,20,133,144,144,0,154,57,222,19,0,0,142,156,267,0,0,31,0,267,12,0,0,19,0
Nayinunje Health Centre,201705,366,117,61,2,225,132,185,389,0,155,270,260,14,0,0,98,446,517,0,0,27,0,517,13,0,0,14,0
Nayinunje Health Centre,201706,112,321,56,0,31,184,274,189,0,300,82,391,15,0,1,84,405,462,0,0,27,0,462,12,0,0,15,0
Nyambi Health Centre,201704,214,108,147,0,28,219,222,365,0,104,99,348,21,0,1,299,170,424,0,0,40,5,424,19,0,4,21,1
Nyambi Health Centre,201705,247,213,199,0,28,277,354,521,0,138,147,490,22,0,0,327,332,616,0,0,42,1,616,20,0,1,22,0
Nyambi Health Centre,201706,501,815,162,0,67,661,750,462,0,1016,302,1140,35,0,1,321,1157,1414,0,0,59,5,1414,24,0,4,35,1
Nayuchi Health Centre,201704,97,140,46,0,29,121,133,224,3,56,95,167,21,0,0,81,202,237,0,0,46,0,237,25,0,0,21,0
Nayuchi Health Centre,201705,477,115,53,0,319,155,171,591,3,51,412,214,19,0,0,88,557,603,0,0,42,0,603,23,0,0,19,0
Nayuchi Health Centre,201706,212,262,62,0,24,211,301,460,3,73,133,384,19,0,0,127,409,494,0,0,40,2,494,21,0,2,19,0
Namandanje Health Centre,201704,83,62,75,0,28,92,100,115,0,105,75,136,9,0,0,64,156,193,0,0,27,0,193,18,0,0,9,0
Namandanje Health Centre,201705,83,71,95,0,21,98,130,143,2,104,68,174,7,0,0,53,196,239,0,0,10,0,239,3,0,0,7,0
Namandanje Health Centre,201706,155,163,156,0,27,212,235,278,0,196,120,350,4,0,0,158,316,463,0,0,10,1,463,6,0,1,4,0
Chamba Dispensary,201704,87,145,3,3,54,63,115,95,0,140,70,156,7,1,1,10,225,218,0,0,16,1,218,8,1,1,7,0
Chamba Dispensary,201705,118,201,2,2,105,88,126,220,0,101,134,178,9,0,0,15,306,304,0,0,16,1,304,7,0,1,9,0
Chamba Dispensary,201706,128,221,0,0,119,103,127,214,2,133,124,220,5,0,0,0,349,339,0,0,10,0,339,5,0,0,5,0
Mpiri Health Centre,201704,117,51,143,0,18,128,165,234,0,77,58,234,9,10,0,127,184,296,0,0,15,0,296,6,0,0,9,0
Mpiri Health Centre,201705,145,112,245,0,15,226,261,328,6,168,156,331,13,1,1,173,329,467,0,0,34,1,467,21,0,1,13,0
Mpiri Health Centre,201706,327,357,130,0,17,486,311,356,5,453,306,481,27,0,0,103,711,763,0,0,50,1,763,23,0,1,27,0
Nsanama Health Centre,201704,751,197,252,0,518,365,317,936,1,263,660,515,25,0,0,178,1022,1151,0,0,48,1,1151,23,0,1,25,0
Nsanama Health Centre,201705,211,205,257,0,60,277,336,380,1,292,166,473,33,0,1,202,471,602,0,0,70,1,602,37,0,1,33,0
Nsanama Health Centre,201706,442,422,294,0,51,493,614,713,4,441,363,756,39,0,0,274,884,1084,0,0,73,1,1084,34,0,1,39,0
Ngokwe Health Centre,201704,262,191,205,0,30,285,343,428,2,228,168,462,28,0,0,357,301,602,0,0,54,2,602,26,0,2,28,0
Ngokwe Health Centre,201705,311,187,330,0,30,364,434,575,4,249,178,615,34,0,1,406,422,764,0,0,62,2,765,28,0,1,34,0
Ngokwe Health Centre,201706,458,465,234,3,28,521,605,612,5,540,265,867,25,0,0,601,556,1105,0,0,52,0,1105,27,0,0,25,0
Gawanani Health Centre,201704,108,120,41,0,32,84,153,184,1,84,39,213,17,0,0,86,183,238,0,0,29,2,238,12,0,0,17,2
Gawanani Health Centre,201705,211,130,63,0,49,168,187,243,1,160,137,245,21,0,1,128,276,363,0,0,41,0,363,20,0,0,21,0
Gawanani Health Centre,201706,196,211,64,3,76,167,225,283,5,183,116,344,11,0,0,134,337,437,0,0,31,3,447,10,0,3,11,0
Mposa Health Centre,201704,115,34,85,0,7,92,135,165,0,69,48,177,9,0,0,136,98,216,0,0,18,0,216,9,0,0,9,0
Mposa Health Centre,201705,113,57,124,0,12,112,170,205,0,89,46,235,13,0,0,133,161,271,0,0,23,0,271,8,0,0,15,0
Mposa Health Centre,201706,114,73,85,1,18,110,143,148,0,124,50,206,16,0,0,110,162,247,0,0,25,0,247,10,0,0,15,0
Mkwepere Health Centre,201704,149,217,77,0,35,194,214,242,7,194,77,351,14,0,1,152,291,413,0,0,28,2,413,14,0,2,14,0
Mkwepere Health Centre,201705,146,151,96,0,18,168,207,214,0,179,49,332,11,0,1,136,257,373,0,0,20,0,373,9,0,0,11,0
Mkwepere Health Centre,201706,449,752,100,1,123,577,600,452,2,847,321,955,25,0,0,142,1159,1249,0,0,47,5,1249,22,0,5,25,0
Ntholowa Health Centre,201704,71,55,128,0,21,110,123,203,0,51,40,203,10,0,1,67,187,234,0,0,20,0,234,10,0,0,10,0
Ntholowa Health Centre,201705,148,72,193,0,51,167,195,342,0,71,78,327,8,0,0,134,279,400,0,0,13,0,400,5,0,0,8,0
Ntholowa Health Centre,201706,111,147,194,0,16,196,240,374,0,78,31,414,7,0,0,120,332,438,0,0,14,0,438,7,0,0,7,0
Mangamba Health Centre,201704,138,77,188,0,12,187,204,352,0,51,66,316,21,0,0,249,154,364,0,0,39,0,364,18,0,0,21,0
Mangamba Health Centre,201705,184,75,205,0,11,178,275,424,3,37,63,381,19,0,1,316,148,426,0,0,37,1,425,18,1,1,19,0
Mangamba Health Centre,201706,255,466,195,0,35,389,492,721,8,187,192,695,28,0,1,301,615,849,0,0,66,1,849,38,0,1,28,0
Kawinga Health Centre,201704,85,30,67,0,6,67,109,173,0,9,47,130,5,0,0,1,181,163,0,1,16,2,164,11,0,2,5,0
Kawinga Health Centre,201705,63,46,20,0,11,41,77,113,0,16,37,83,9,0,0,1,128,111,0,0,18,0,111,9,0,0,9,0
Kawinga Health Centre,201706,32,8,20,0,4,21,35,52,0,8,13,45,2,0,0,12,48,56,0,0,4,0,56,2,0,0,2,0
Mbonechera Health Centre,201704,19,42,1,0,10,19,33,12,0,50,10,49,2,0,1,8,54,58,0,0,3,1,58,1,0,0,2,1
Mbonechera Health Centre,201705,21,28,2,0,3,12,36,10,1,40,9,38,4,0,0,13,38,43,0,0,8,0,43,4,0,0,4,0
Mbonechera Health Centre,201706,38,60,2,0,3,34,63,9,0,91,16,79,5,0,0,6,94,91,0,0,9,0,91,4,0,0,5,0
Mlomba Health Centre,201704,47,64,4,0,13,32,70,27,0,88,25,72,18,0,0,31,84,78,0,0,35,2,78,16,0,0,19,2
Mlomba Health Centre,201705,21,28,3,0,6,13,33,9,2,41,8,40,4,0,0,7,45,40,0,0,10,2,40,5,0,2,5,0
Mlomba Health Centre,201706,30,49,4,0,7,21,55,38,1,44,11,63,9,0,0,14,69,59,0,0,23,1,59,14,0,2,8,0
Chipini Health Centre,201704,137,110,69,2,23,124,167,167,0,149,50,253,13,0,0,119,197,289,0,1,24,2,290,10,0,2,14,0
Chipini Health Centre,201705,176,102,91,0,14,134,221,185,3,181,51,302,16,0,0,164,205,341,0,1,27,0,342,11,0,0,16,0
Chipini Health Centre,201706,188,172,77,0,83,180,174,225,2,210,119,302,16,0,0,100,337,408,0,1,27,1,409,11,0,1,16,0
Zomba Central Hospital Tisungane Clinic,201704,603,997,76,6,333,427,910,1312,1,363,469,1100,101,0,6,164,1512,1477,0,3,193,3,1480,92,1,2,101,0
Zomba Central Hospital Tisungane Clinic,201705,875,2005,149,35,723,903,1368,2167,3,859,960,1933,132,0,4,240,2789,2791,0,0,234,4,2791,102,0,3,132,1
Zomba Central Hospital Tisungane Clinic,201706,1076,2229,106,37,791,1265,1318,2123,2,1286,1308,1970,128,2,3,216,3195,3182,0,5,217,7,3187,89,0,7,128,0
St Lukes Mission Hospital,201704,170,220,206,10,80,198,308,432,3,161,115,432,49,0,0,114,482,509,0,1,83,3,510,34,0,3,49,0
